"pais","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Albania",NA,NA,23.011105560955,23.0075910689151,24.1607792110922,24.3826719044142,24.446183930057,23.956727318777,23.8578046961991,23.3498809150361,NA
"Alemania",31.0460680451235,31.3667134612385,28.8749832934852,28.4938677234993,28.5460010315329,28.0521822895851,27.9094872395687,27.8616827797454,28.2210114669074,28.0656745515598,NA
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",23.8619179943921,22.9973623470093,22.5680163171222,21.3736421560682,22.6371817977093,23.9875580530759,25.0779813488419,25.7115181584805,22.6297249923647,22.12084600425,NA
"Austria",47.848356650487,46.4268063334548,45.5076838109706,46.1450516838,46.6216192018652,47.5011846905473,46.2684480980191,45.0356704739559,44.141830191579,43.6516769483465,NA
"Azerbaiyán",23.0788028594301,20.8724832214765,18.4783610460428,22.1853838889224,20.9255439826751,22.1009894245613,24.7886635000671,27.1959381185333,27.9587305829867,21.481330171986,NA
"Bélgica",44.3987233629884,43.579571630894,44.8411007538412,45.9131579567486,45.5420739156994,45.1719874254131,41.5945806757549,40.9751933268908,39.847039944225,39.811617507554,NA
"Belarús",31.7738362587998,30.2074804270194,25.4492994190304,27.6224227639515,28.2546964798114,27.410400205909,28.110499205426,29.4170537971155,29.3216054007539,28.1637805187554,NA
"Bosnia y Herzegovina",39.8245485260411,39.1633455142932,38.1186179452594,39.0326694266153,37.3655580614393,39.9462725386932,36.911885327249,35.3219267006326,34.3505832762342,35.0503328911258,NA
"Bulgaria",33.950760352342,31.7053642239736,30.0057900667418,31.1677770951872,33.303179215817,38.1775395195568,35.0161557636901,32.6262519919261,32.609250562882,33.204648029702,NA
"Chipre",39.0254757933298,39.0742409031563,40.20798228231,41.1660501018041,42.6580387727302,48.9357747109291,39.6484019586527,36.4941435516545,35.4975544539199,39.8026058704657,NA
"Croacia",39.6422429065685,41.3169246667368,41.6762064590168,40.5092414920725,39.8167000846293,41.1914047928611,40.7180568160777,39.9126716019964,38.7339182443609,38.9314036912945,NA
"Dinamarca",41.9424059218607,42.2686056002143,42.3863047125002,43.523694932766,41.4137695541439,40.9107774305507,40.4442011259575,38.3836154110677,37.5984469353169,37.191098180561,NA
